No.,1文字目,2文字目,出現数
1029,く,、,199
1030,く,。,60
1031,く,，,0
1032,く,．,0
1033,く,；,0
1034,く,：,1
1035,く,！,3
1036,く,？,0
1037,く,「,22
1038,く,」,23
1039,く,（,11
1040,く,）,17
1041,く,［,0
1042,く,］,0
1043,く,｛,0
1044,く,｝,0
1045,く,‘,0
1046,く,’,0
1047,く,“,0
1048,く,”,0
1049,く,1,17
1050,く,2,8
1051,く,3,9
1052,く,4,6
1053,く,5,1
1054,く,6,7
1055,く,7,3
1056,く,8,1
1057,く,9,4
1058,く,0,1
1059,く,＝,1
1060,く,＜,0
1061,く,＞,0
1062,く,＋,0
1063,く,?,0
1064,く,＊,0
1065,く,×,0
1066,く,／,0
1067,く,÷,0
1068,く,＃,0
1069,く,＄,0
1070,く,￥,0
1071,く,％,0
1072,く,＆,1
1073,け,あ,29
1074,け,い,396
1075,け,う,3
1076,け,え,0
1077,け,お,11
1078,け,か,7
1079,け,き,4
1080,け,く,2
1081,け,け,0
1082,け,こ,7
1083,け,さ,13
1084,け,し,43
1085,け,す,5
1086,け,せ,2
1087,け,そ,2
1088,け,た,139
1089,け,ち,9
1090,け,つ,68
1091,け,て,242
1092,け,と,37
1093,け,な,104
1094,け,に,49
1095,け,ぬ,2
1096,け,ね,6
1097,け,の,78
1098,け,は,36
1099,け,ひ,6
1100,け,ふ,1
1101,け,へ,1
1102,け,ほ,0
1103,け,ま,44
1104,け,み,1
1105,け,む,5
1106,け,め,1
1107,け,も,12
1108,け,や,5
1109,け,ゆ,1
1110,け,よ,12
1111,け,ら,49
1112,け,り,23
1113,け,る,165
1114,け,れ,147
1115,け,ろ,2
1116,け,わ,7
1117,け,ゐ,0
1118,け,ゑ,0
1119,け,を,46
1120,け,ん,678
1121,け,ヴ,0
1122,け,が,42
1123,け,ぎ,0
1124,け,ぐ,0
1125,け,げ,1
1126,け,ご,3
1127,け,ざ,3
1128,け,じ,15
1129,け,ず,12
1130,け,ぜ,1
1131,け,ぞ,1
1132,け,だ,27
1133,け,ぢ,6
1134,け,づ,0
1135,け,で,149
1136,け,ど,96
1137,け,ば,21
1138,け,び,11
1139,け,ぶ,5
1140,け,べ,0
1141,け,ぼ,5
1142,け,ぱ,0
1143,け,ぴ,0
1144,け,ぷ,0
1145,け,ぺ,1
1146,け,ぽ,0
1147,け,ぁ,0
1148,け,ぃ,0
1149,け,ぅ,0
1150,け,ぇ,0
1151,け,ぉ,0
1152,け,っ,171
1153,け,ゃ,0
1154,け,ゅ,0
1155,け,ょ,0
1156,け,ゎ,0
1157,け,ヵ,0
1158,け,ヶ,0
1159,け,ー,30
1160,け,～,0
1161,け,…,2
1162,け,・,0
1163,け,、,37
1164,け,。,12
1165,け,，,0
1166,け,．,0
1167,け,；,0
1168,け,：,0
1169,け,！,2
1170,け,？,5
1171,け,「,2
1172,け,」,19
1173,け,（,1
1174,け,）,2
1175,け,［,0
1176,け,］,0
1177,け,｛,0
1178,け,｝,0
1179,け,‘,0
1180,け,’,0
1181,け,“,0
1182,け,”,0
1183,け,1,0
1184,け,2,0
1185,け,3,0
1186,け,4,1
1187,け,5,1
1188,け,6,0
1189,け,7,0
1190,け,8,0
1191,け,9,0
1192,け,0,0
1193,け,＝,0
1194,け,＜,0
1195,け,＞,0
1196,け,＋,0
1197,け,?,0
1198,け,＊,0
1199,け,×,0
1200,け,／,0
1201,け,÷,0
1202,け,＃,0
1203,け,＄,0
1204,け,￥,0
1205,け,％,0
1206,け,＆,0
1207,こ,あ,6
1208,こ,い,48
1209,こ,う,1299
1210,こ,え,122
1211,こ,お,9
1212,こ,か,42
1213,こ,き,41
1214,こ,く,253
1215,こ,け,3
1216,こ,こ,268
1217,こ,さ,32
1218,こ,し,208
1219,こ,す,38
1220,こ,せ,17
1221,こ,そ,60
1222,こ,た,78
1223,こ,ち,40
1224,こ,つ,16
1225,こ,て,21
1226,こ,と,1515
1227,こ,な,127
1228,こ,に,120
1229,こ,ぬ,0
1230,こ,ね,8
1231,こ,の,626
1232,こ,は,101
1233,こ,ひ,2
1234,こ,ふ,5
1235,こ,へ,27
1236,こ,ほ,0
1237,こ,ま,89
1238,こ,み,47
1239,こ,む,18
1240,こ,め,45
1241,こ,も,27
1242,こ,や,16
1243,こ,ゆ,4
1244,こ,よ,7
1245,こ,ら,30
1246,こ,り,42
1247,こ,る,31
1248,こ,れ,373
1249,こ,ろ,632
1250,こ,わ,37
1251,こ,ゐ,0
1252,こ,ゑ,0
1253,こ,を,58
1254,こ,ん,412
1255,こ,ヴ,0
1256,こ,が,94
1257,こ,ぎ,6
1258,こ,ぐ,2
1259,こ,げ,2
1260,こ,ご,2
1261,こ,ざ,1
1262,こ,じ,47
1263,こ,ず,0
1264,こ,ぜ,3
1265,こ,ぞ,3
1266,こ,だ,32
1267,こ,ぢ,0
1268,こ,づ,9
1269,こ,で,113
1270,こ,ど,98
1271,こ,ば,11
1272,こ,び,24
1273,こ,ぶ,11
1274,こ,べ,4
1275,こ,ぼ,14
1276,こ,ぱ,0
1277,こ,ぴ,5
1278,こ,ぷ,0
1279,こ,ぺ,0
1280,こ,ぽ,1
1281,こ,ぁ,0
1282,こ,ぃ,0
1283,こ,ぅ,0
1284,こ,ぇ,0
1285,こ,ぉ,0
1286,こ,っ,94
1287,こ,ゃ,0
1288,こ,ゅ,0
1289,こ,ょ,0
1290,こ,ゎ,0
1291,こ,ヵ,0
1292,こ,ヶ,0
1293,こ,ー,66
1294,こ,～,1
1295,こ,…,1
1296,こ,・,1
1297,こ,、,16
1298,こ,。,9
1299,こ,，,0
1300,こ,．,0
1301,こ,；,0
1302,こ,：,0
1303,こ,！,0
1304,こ,？,1
1305,こ,「,31
1306,こ,」,6
1307,こ,（,1
1308,こ,）,13
1309,こ,［,0
1310,こ,］,0
1311,こ,｛,0
1312,こ,｝,0
1313,こ,‘,0
1314,こ,’,0
1315,こ,“,0
1316,こ,”,0
1317,こ,1,1
1318,こ,2,0
1319,こ,3,0
1320,こ,4,0
1321,こ,5,0
1322,こ,6,0
1323,こ,7,0
1324,こ,8,0
1325,こ,9,0
1326,こ,0,0
1327,こ,＝,0
1328,こ,＜,0
1329,こ,＞,19
1330,こ,＋,0
1331,こ,?,0
1332,こ,＊,0
1333,こ,×,0
1334,こ,／,0
1335,こ,÷,0
1336,こ,＃,0
1337,こ,＄,0
1338,こ,￥,0
1339,こ,％,0
1340,こ,＆,0
1341,さ,あ,17
1342,さ,い,725
1343,さ,う,2
1344,さ,え,62
1345,さ,お,4
1346,さ,か,97
1347,さ,き,123
1348,さ,く,254
1349,さ,け,57
1350,さ,こ,2
1351,さ,さ,34
1352,さ,し,115
